Year,Month,Corrected temp,PrecipSeason,Precip_m_RAW,Tau
1956,8,5.422326,1,0.04,0.45
1956,9,1.079878,1,0.02,0.45
1956,10,-3.620595,0,0.02,0.45
1956,11,-8.862385,0,0.01,0.45
1956,12,-10.9166,0,0,0.45
1957,1,-8.93322,0,0.03,0.45
1957,2,-12.61664,0,0.01,0.45
1957,3,-8.720715,0,0.01,0.45
1957,4,-3.54976,0,0,0.45
1957,5,-1.683498,0,0.02,0.45
1957,6,2.856334,1,0.01,0.45
1957,7,9.764774,1,0.04,0.45
1957,8,5.718402,1,0.09,0.45
1957,9,1.770722,1,0.01,0.45
1957,10,-2.84141,0,0.02,0.45
1957,11,-4.25811,0,0.01,0.45
1957,12,-8.64988,0,0.04,0.45
1958,1,-13.60833,0,0.03,0.45
1958,2,-11.19994,0,0.03,0.45
1958,3,-10.137415,0,0.01,0.45
1958,4,-5.178965,0,0.01,0.45
1958,5,-1.78219,0,0.01,0.45
1958,6,4.435406,1,0.02,0.45
1958,7,6.507938,1,0.05,0.45
1958,8,8.08701,1,0.06,0.45
